Date,CpuAllocation,CpuLimit,CpuUsed,MemoryAllocation,MemoryLimit,MemoryUsed
1360843200,45000,45000,34060,225280,225280,206848
1360864800,45000,45000,34060,225280,225280,206848
1360886400,45000,45000,34060,225280,225280,206848
1360908000,45000,45000,34060,225280,225280,206848
1360929600,45000,45000,34060,225280,225280,206848
1360951200,45000,45000,34060,225280,225280,206848
1360972800,45000,45000,34060,225280,225280,206848
1360994400,45000,45000,34060,225280,225280,206848
1361016000,45000,45000,34060,225280,225280,206848
1361037600,45000,45000,34060,225280,225280,206848
1361059200,45000,45000,34060,225280,225280,206848
1361080800,45000,45000,34060,225280,225280,206848
1361102400,NAN,NAN,NAN,NAN,NAN,NAN
1361124000,NAN,NAN,NAN,NAN,NAN,NAN
1361145600,NAN,NAN,NAN,NAN,NAN,NAN
1361167200,NAN,NAN,NAN,NAN,NAN,NAN
1361188800,45000,45000,34060,225280,225280,206848
1361210400,45000,45000,34060,225280,225280,206848
1361232000,45000,45000,34060,225280,225280,206848
1361253600,45000,45000,34060,225280,225280,206848
1361275200,45000,45000,34060,225280,225280,206848
1361296800,45000,45000,34060,225280,225280,206848
1361318400,45000,45000,34060,225280,225280,206848
1361340000,45000,45000,34060,225280,225280,206848
1361361600,45000,45000,34060,225280,225280,206848
1361383200,45000,45000,34060,225280,225280,206848
1361404800,45000,45000,34060,225280,225280,206848
1361426400,45000,45000,34060,225280,225280,206848
1361448000,45000,45000,29549.385185185,225280,225280,189083.11703704
1361469600,45000,45000,22620,225280,225280,161792
1361491200,45000,45000,22620,225280,225280,161792
1361512800,45000,45000,22620,225280,225280,161792
1361534400,45000,45000,23890.581481481,225280,225280,166796.1362963
1361556000,45000,45000,30950.014814815,225280,225280,194599.44296296
1361577600,45000,45000,34060,225280,225280,206848
1361599200,45000,45000,34060,225280,225280,206848
1361620800,45000,45000,34060,225280,225280,206848
1361642400,45000,45000,34060,225280,225280,206848
1361664000,45000,45000,34060,225280,225280,206848
1361685600,45000,45000,34060,225280,225280,206848
1361707200,45000,45000,34060,225280,225280,206848
1361728800,45000,45000,34060,225280,225280,206848
1361750400,45000,45000,34060,225280,225280,206848
1361772000,45000,45000,34060,225280,225280,206848
1361793600,45000,45000,34060,225280,225280,206848
1361815200,45000,45000,33970.396296296,225280,225280,206142.19851852
1361836800,45000,45000,34060,225280,225280,206848
1361858400,45000,45000,34060,225280,225280,206848
1361880000,45000,45000,34033.951851852,225280,225280,206790.73185185
1361901600,45000,45000,34062.949074074,225280,225280,206871.22962963
1361923200,45000,45000,34060,225280,225280,206848
1361944800,45000,45000,34060,225280,225280,206848
1361966400,45000,45000,34365.355555556,225280,225280,208050.63111111
1361988000,45000,45000,37180,225280,225280,219136
1362009600,45000,45000,37180,225280,225280,219136
1362031200,45000,45000,37180,225280,225280,219136
1362052800,45000,45000,37180,225280,225280,219136
1362074400,45000,45000,37148.198148148,225280,225280,219010.74962963
1362096000,45000,45000,37180,225280,225280,219136
